,country,ccode,year,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,participants,protesteridentity,sources,notes,protesterdemands,stateresponses,countryCode,ccYear,urbanpop,gdpgrowth,inflation,gdppercap,salariedEmployment,vulnerableEmployment
1044,Panama,95,1996,1,1,24.0,5.0,1996.0,24.0,5.0,1996.0,0.0,100,elderly panamanians,"1. may 24, 1996, friday, am cycle, international news, 449 words, by the associated press;","hundreds of elderly panamanians blocked traffic on major highways around the country for several hours friday to demand a 40 a month increase in their government pensions. there are an estimated 177,000 retired panamanians. of those, about 40 percent receive pensions worth less than 175 a month.","political behavior, process",ignore,PAN,"PAN,1996",37.6958621259375,4.07970320578626,1.25571661111545,3529.85222210421,60.7900009155273,35.2399997711182
1045,Panama,95,1996,1,2,27.0,5.0,1996.0,30.0,5.0,1996.0,1.0,100,movement of unity against impunity,"1. associated press international, may 28, 1996; tuesday, international news, 573 words, alina guerrero 2. associated press international, may 29, 1996; wednesday, international news, 723 words 3. may 30, 1996, thursday, am cycle, international news, 802 words, by the associated press;","a proposal to grant amnesty to nearly 1,000 military and civilian officials who served during the regime of gen. manuel noriega is drawing debate in the legislature and protests in the streets. among those who would be pardoned or shielded from prosecution are a former president and soldiers who led goon squads against the panamanian dictator s opponents. violent protests erupted at the university of panama when the 965 names of amnesty candidates in the proposal were made public last week. at least 20 injuries were reported monday in demonstrations as students set piles of garbage alight around the university and riot police responded with tear gas.","political behavior, process",crowd dispersal-accomodation,PAN,"PAN,1996",37.6958621259375,4.07970320578626,1.25571661111545,3529.85222210421,60.7900009155273,35.2399997711182
1046,Panama,95,1997,0,0,,,,,,,,nan,,,,,,PAN,"PAN,1997",38.2915771256737,6.46099044002899,1.32435122100609,3741.28732996555,59.5299987792969,36.8199982643127
1047,Panama,95,1998,1,1,13.0,8.0,1998.0,13.0,8.0,1998.0,0.0,100,the independent movement,"1. protest against re election proposal in panama associated press international, august 14, 1998; friday, international news, 160 words;","several hundred protesters formed a human chain along one of panama city s main boulevards thursday to protest a proposal to allow president ernesto perez balladares to run for re election. wearing yellow t shirts with the slogan we independents are the majority ... vote no, the protesters, organized by the independent movement, stood with arms linked for more than an hour. the protest comes about two weeks before a planned aug. 30 referendum on a proposed constitutional amendment that would strike down a prohibition on re election, allowing perez balladares to seek a second five year term.","political behavior, process",ignore,PAN,"PAN,1998",38.9038559662784,7.34150070288588,0.559081293442533,3974.66430520293,61.4700012207031,34.6400003433228
1048,Panama,95,1998,1,2,3.0,12.0,1998.0,3.0,12.0,1998.0,0.0,1000,labor unions,"1. panama police break up student protests against privatization of water syste associated press international, december 04, 1998; friday, international news, 216 words;",the unrest followed protests thursday by thousands of union workers angered over the planned sale of the national institute of aqueducts and sewers. riot police used tear gas to keep the workers from charging the congress building. the government argues that privatization is needed to modernize the water system and make it more efficient. it already has authorized the sale of panama s electrical services and 49 percent of its telecommunications industry.,"labor wage dispute-political behavior, process",crowd dispersal,PAN,"PAN,1998",38.9038559662784,7.34150070288588,0.559081293442533,3974.66430520293,61.4700012207031,34.6400003433228
1049,Panama,95,1998,1,3,4.0,12.0,1998.0,4.0,12.0,1998.0,1.0,100,university students,"1. panama police break up student protests against privatization of water syste associated press international, december 04, 1998; friday, international news, 216 words;","riot police fired tear gas and plastic bullets friday to try to break up protests against a government plan to privatize panama s water system. the police dispersed hundreds of students who blocked main streets for more than two hours near the university of panama. the students fled to the university campus, throwing rocks and sticks at police.","political behavior, process",crowd dispersal-shootings,PAN,"PAN,1998",38.9038559662784,7.34150070288588,0.559081293442533,3974.66430520293,61.4700012207031,34.6400003433228
1050,Panama,95,1998,1,4,9.0,12.0,1998.0,10.0,12.0,1998.0,1.0,100,students,"1. contains items from mexico, nicaragua, panama city. some items have moved a associated press international, december 10, 1998; thursday, international news, 684 words 2. contains items from honduras, guatemala, peru, nicaragua, panama, mexico associated press international, december 11, 1998; friday, international news, 1025 words, the associated press;","workers, teachers and students marched through central panama city on thursday to denounce the use of violence by police to break up a protest against privatization of the country s water services. the clash between riot police and students wednesday ended with 110 people arrested and dozens injured. thursday s march led to the national legislative assembly, where workers demanded that legislators condemn the violence and end plans to sell off the state institute of national aqueducts and sewers.","political behavior, process",crowd dispersal-shootings-arrests,PAN,"PAN,1998",38.9038559662784,7.34150070288588,0.559081293442533,3974.66430520293,61.4700012207031,34.6400003433228
1051,Panama,95,1999,0,0,,,,,,,,nan,,,,,,PAN,"PAN,1999",39.5356147707473,3.91720658872848,1.24718256949633,4082.61458260762,61.439998626709,34.9999992847442
1052,Panama,95,2000,1,1,18.0,7.0,2000.0,18.0,7.0,2000.0,0.0,50,indigenous groups,"1. includes items from panama, guatemala, peru, bolivia and cuba associated press international, july 18, 2000; tuesday, international news, 678 words, the associated press;","police fired tear gas to break up dozens of residents who blocked a highway into costa rica on tuesday to protest recently revived taxes on goods bought across the border. at least 12 people were detained and police units were sent to the panamanian border town of guabito to open up the highway between the two countries and prevent further disturbances, national police director carlos bares said. the protesters, the majority of them from indigenous populations who live on the border, oppose the government s recent elimination of courtesy permits that allowed them to buy costa rican goods without paying a panamanian tax.","price increases, tax policy",crowd dispersal,PAN,"PAN,2000",40.1171752411369,2.71537415482821,1.49896111605775,4060.31779345702,59.9900016784668,36.5399992465972
1053,Panama,95,2000,1,2,26.0,9.0,2000.0,26.0,9.0,2000.0,0.0,80,unspecified,"1. ap photos ny109 associated press international, september 30, 2000; saturday, international news, 652 words, kathia martinez;","and anti asylum demonstrations have broken out here, protests not seen since panama gave asylum to the shah of iran in 1979. since then, panama has allowed in haitian dictator raul cedras, reviled former ecuadorean president abdala bucaram, and former guatemalan president jorge serrano elias, who attempted to seize absolute power in his country in 1993. astrid wolf, one of about 80 people who gathered in an anti asylum protest in panama city on tuesday, put it in simple terms. we re trying to be somebody on the world stage, but with people like this here, we won t get anywhere.","political behavior, process",ignore,PAN,"PAN,2000",40.1171752411369,2.71537415482821,1.49896111605775,4060.31779345702,59.9900016784668,36.5399992465972
1054,Panama,95,2001,1,1,9.0,5.0,2001.0,10.0,5.0,2001.0,1.0,10000,"workers, students, and teachers","1. violence erupts during street march in panama agence france presse english, 189 words 2. panama city tense after rioting, looting agence france presse english, 178 words 3. ap photos pan101 106 associated press international, may 10, 2001; thursday, international news, 172 words, kathia martinez;","at least 20 people were injured here wednesday as a result of violent clashes between security forces and demonstrators protesting a bus fare increase introduced last week, hospital and relief officials said. dozens of protesters were arrested, although authorities refused to disclose the exact number. the clashes occurred as about 10,000 workers, students and teachers were taking part in the march in the city center near the presidential palace. about a hundred demonstrators crossed a security line created by police on the approaches to the palace, prompting authorities to use force.","price increases, tax policy",crowd dispersal-shootings-arrests,PAN,"PAN,2001",40.1927602592016,0.574272790634538,0.307062436028713,4046.42914824085,59.6500015258789,37.0000014305115
1055,Panama,95,2002,0,0,,,,,,,,nan,,,,,,PAN,"PAN,2002",40.2813417397144,2.22914941663728,1.00583090379042,4126.23238637176,59.8699989318848,36.3200011253357
1056,Panama,95,2003,1,1,28.0,5.0,2003.0,28.0,5.0,2003.0,0.0,100,students,"1. beauty queens beware: miss universe faces rain, protests and catfights agence france presse english, may 29, 2003 thursday, international news, 545 words, james aparicio;","students were protesting both the miss universe pageant, which was held in panama city at this time, and the government s tax reform.","price increases, tax policy",ignore,PAN,"PAN,2003",40.3807225551689,4.20549594481574,0.391666666666668,4267.29268669665,59.3300018310547,36.8400003910065
1057,Panama,95,2003,1,2,3.0,6.0,2003.0,3.0,6.0,2003.0,0.0,3000,students and labor unions,"1. panama hosts miss universe pageant agence france presse english, june 4, 2003 wednesday, international news, 626 words, james aparicio;","protesters demanded an increase in the minimum wage, opposed electricity price increases and the privatization of social security, and expressed opposition to the money that the government spent on hosting the miss universe pageant.","labor wage dispute-price increases, tax policy-political behavior, process",ignore,PAN,"PAN,2003",40.3807225551689,4.20549594481574,0.391666666666668,4267.29268669665,59.3300018310547,36.8400003910065
1058,Panama,95,2003,1,3,23.0,9.0,2003.0,23.0,9.0,2003.0,1.0,1000,union workers,"1. brief the toronto star, september 24, 2003 wednesday, 409 words, from the star s wire services;","thousands of union workers took to the streets yesterday in the country s first national strike in six years, battling with riot police, blocking streets and paralyzing public services. protesters in panama city and the country s second city colon clashed with authorities, throwing home made gasoline bombs, fireworks and rocks at police in riot gear in confrontations which lasted several hours.","political behavior, process",ignore,PAN,"PAN,2003",40.3807225551689,4.20549594481574,0.391666666666668,4267.29268669665,59.3300018310547,36.8400003910065
1059,Panama,95,2003,1,4,30.0,10.0,2003.0,30.0,10.0,2003.0,1.0,100,teachers and construction workers,"1. workers protest plan to privatize social security the associated press, october 30, 2003, thursday, bc cycle, international news, 233 words;",protests were against government plans to privatize social security.,"political behavior, process",shootings,PAN,"PAN,2003",40.3807225551689,4.20549594481574,0.391666666666668,4267.29268669665,59.3300018310547,36.8400003910065
1060,Panama,95,2004,1,1,15.0,7.0,2004.0,15.0,7.0,2004.0,0.0,1000,"students, activists, and farmers","1. thousands protest u.s. panama free trade talks associated press international, july 15, 2004 thursday, international news, 129 words;","protests were against opening trade with the united states, due to concern that this would damage panama s farming sector.","political behavior, process",ignore,PAN,"PAN,2004",40.4901760469034,7.52207965784619,0.474723078204383,4592.15261354224,60.8800010681152,34.6699995994568
1061,Panama,95,2005,1,1,17.0,3.0,2005.0,17.0,3.0,2005.0,0.0,1000,government and construction workers,"1. panama s president proposes repealling restrictive press laws associated press international, march 17, 2005 thursday, international news, 236 words;",protests were against raising the retirement age or decreasing social security benefits.,"political behavior, process",ignore,PAN,"PAN,2005",40.6044702124963,7.19127940233535,2.85588324760956,4916.90761156463,60.9700012207031,34.9500002861023
1062,Panama,95,2005,1,2,23.0,5.0,2005.0,28.0,5.0,2005.0,1.0,5500,"labor unions, womens groups, students","1. panamanians march to protest social security reforms agence france presse english, may 24, 2005 tuesday 11:00 am gmt, 232 words 2. panama s president calls for calm following angry protests, stone throwing associated press international, may 24, 2005 tuesday, international news, 230 words 3. panamanian police fire rubber bullets, tear gas to disperse protesters associated press international, may 25, 2005 wednesday, international news, 234 words 4. hundreds arrested in worker protests in panama agence france presse english, may 28, 2005 saturday 6:48 am gmt, 203 words;",protests were against government plans to increase the minimum retirement age and decrease social security benefits.,"political behavior, process",arrests-crowd dispersal-shootings,PAN,"PAN,2005",40.6044702124963,7.19127940233535,2.85588324760956,4916.90761156463,60.9700012207031,34.9500002861023
1063,Panama,95,2005,1,3,7.0,6.0,2005.0,7.0,6.0,2005.0,1.0,1000,workers unions,"1. 20 injured, hundreds arrested in panama unrest agence france presse english, june 8, 2005 wednesday 1:28 am gmt, 222 words;","at least 20 people were injured and around 400 were arrested tuesday in violent clashes between protesters and police, in protests over a proposed pension reform plan. the unrest occurred in the capital and in four provinces around the country, but union leader genaro lopez said police had carried out the arbitrary arrests of hundreds of workers when they were protesting peacefully. in chiriqui province 500 kilometers west of the capital, police and demonstrators clashed leaving five people injured, including two police officers.","political behavior, process",arrests,PAN,"PAN,2005",40.6044702124963,7.19127940233535,2.85588324760956,4916.90761156463,60.9700012207031,34.9500002861023
1064,Panama,95,2006,1,1,3.0,4.0,2006.0,3.0,4.0,2006.0,0.0,50,rights activists,"1. panama s new human rights head reportedly had domestic violence complaint associated press international, april 4, 2006 tuesday 12:45 am gmt, international news, 215 words, by juan zamorano, associated press writer;","dozens of rights activists protested the swearing in of the new head of panama s federal human rights office, saying he shouldn t have got the post because of a 2004 domestic violence complaint against him. lawyer liborio garcia was accused by his wife hilda moreno in a 2004 complaint of hitting her with a cellular phone during an argument, local media reported, citing copies of the complaint and statements by officials. he garcia doesn t have the moral standing needed to defend people s rights, said former legislator teresita de arias at monday s protest, where activists carried a coffin decorated with the international women s symbol.","political behavior, process",ignore,PAN,"PAN,2006",40.7268625247776,8.65246561056669,2.45789346442094,5348.88425269771,62.7299995422363,33.2000005245209
1065,Panama,95,2006,1,2,20.0,6.0,2006.0,20.0,6.0,2006.0,0.0,60,journalists,"1. panama journalists march against proposed jail sentences for libel, slander associated press international, june 21, 2006 wednesday 12:05 am gmt, international news, 388 words, by kathia martinez, associated press writer;","about 60 journalists, many with their mouths covered with strips of cloth, marched in panama city on tuesday to protest what they called a proposed gag law that could send reporters to prison for publishing statements deemed libelous or slanderous. this criminalizes our profession and creates a sanctuary for the corrupt, reporter jean marcel chery of the newspaper la prensa said during reporters march to the president s office. drawn up by a civic commission including lawyers and academics, the measure would punish defamation with prison sentences of two to three years or the equivalent in fines, and libel or slander with one to two years confinement.","political behavior, process",ignore,PAN,"PAN,2006",40.7268625247776,8.65246561056669,2.45789346442094,5348.88425269771,62.7299995422363,33.2000005245209
1066,Panama,95,2007,1,1,11.0,7.0,2007.0,11.0,7.0,2007.0,0.0,400,leftists and farmers,"1. ap financial newsbrief at 12:32 a.m. edt; thursday, july 12, 2007 associated press financial wire, july 12, 2007 thursday 4:32 am gmt, domestic news, 848 words 2. panama ratifies free trade agreement with us associated press financial wire, july 12, 2007 thursday 4:05 am gmt, business news, 383 words, by kathia martinez, associated press writer;","panama s legislature ratified a free trade agreement with the united states on wednesday amid protests by hundreds of leftists and farmers opposed to the deal. the national assembly s approval of the pact by an overwhelming 58 3 margin, with one abstention, comes two weeks after it was signed by both governments in washington. the agreement must still be ratified by the democrat controlled u.s. congress.","political behavior, process",ignore,PAN,"PAN,2007",40.8565552422336,11.983985553889,4.16863300298888,6166.18787089344,65.9300003051758,30.0699996948243
1067,Panama,95,2007,1,2,19.0,7.0,2007.0,19.0,7.0,2007.0,0.0,50,families of victims,"1. panama releases report on 06 poisoning the new york times, february 14, 2008 thursday, section a; column 0; foreign desk; pg. 10, 828 words, by walt bogdanich; r. m. koster contributed reporting from panama city.;","protests were directed at the government for distributing counterfeit cold medication, manufactured in china, that poisoned hundreds of people.","political behavior, process",beatings,PAN,"PAN,2007",40.8565552422336,11.983985553889,4.16863300298888,6166.18787089344,65.9300003051758,30.0699996948243
1068,Panama,95,2008,1,1,14.0,2.0,2008.0,16.0,2.0,2008.0,1.0,550,construction workers,"1. voa news: hundreds clash with panamanian police over shooting death us fed news, february 14, 2008 thursday 1:28 pm est, 105 words, us fed news 2. panama construction workers clash with police agence france presse english, february 16, 2008 saturday 1:08 am gmt, 238 words;",protests were in response to police shooting a labor union leader in a prior protest the day before.,police brutality,crowd dispersal-arrests-shootings,PAN,"PAN,2008",40.9948342018836,9.85565465328497,8.75868317728783,7154.27450066094,67.25,28.6599993705749
1069,Panama,95,2009,0,0,,,,,,,,nan,,,,,,PAN,"PAN,2009",41.1386854380081,1.24299256468599,2.40905304082197,7576.14045682481,63.3499984741211,32.8100001811981
1070,Panama,95,2010,1,1,16.0,3.0,2010.0,16.0,3.0,2010.0,0.0,100,labor unions,"1. construction workers protest agaist fiscal reform in panama xinhua general news service, march 16, 2010 tuesday 10:10 pm est, world news; political, 184 words;","panamanian construction workers clashed with police on tuesday in protest of fiscal reform carried out by the government of president ricardo martinelli. the workers blocked one of the main avenues of panama s financial center at midday, and riot police were deployed to the area. demonstrators threw bricks, stones and other objects at the police, who responded with tear gas and rubber bullets to disperse the crowds. conflicts between demonstrators and police caused a traffic jam. the protests, called by labor unions, are aimed at rejecting the fiscal reform, which intents to increase the transfer tax of goods and services from 5 percent to 7 percent.","price increases, tax policy",crowd dispersal-shootings,PAN,"PAN,2010",41.2918087205311,5.82799312701501,3.49128872618805,8082.01617465426,63.6199989318848,32.4400000572204
1071,Panama,95,2010,1,2,8.0,7.0,2010.0,11.0,7.0,2010.0,1.0,7000,banana workers union,"1. 1 killed, over 100 injured in clashes between banana workers, police in panama xinhua general news service, july 8, 2010 thursday 9:40 pm est, world news; science & technology, 207 words 2. panamanian president cancels south africa trip due to domestic conflicts xinhua general news service, july 9, 2010 friday 10:10 pm est, world news; political, 165 words 3. second panamanian banana worker killed in clashes with police xinhua general news service, july 10, 2010 saturday 10:40 pm est, world news; science & technology, 330 words;","one people was killed and over 100 others were injured when striking banana workers and riot police clashed on thursday in the west panamanian province of bocas del toro. the violence occurred when policemen tried to disperse the protestors, who blocked highways since last week to demand better pays. according to local reports, 18 people were seriously injured and dozens of protestors were arrested in the clashes. the strike, joined by 4,000 members of the industrial and banana workers union and 3,000 independent growers, turned violent after protestors threw stones at the police, who responded with tear gas, witnesses said.",labor wage dispute,crowd dispersal-killings-arrests,PAN,"PAN,2010",41.2918087205311,5.82799312701501,3.49128872618805,8082.01617465426,63.6199989318848,32.4400000572204
1072,Panama,95,2011,1,1,7.0,2.0,2011.0,7.0,2.0,2011.0,0.0,100,indigenous groups,"1. panama students, police clash in anti mining demo agence france presse english, february 9, 2011 wednesday 1:08 am gmt, 389 words;","students, environmentalists and indigenous groups fear that proposed changes to the mining code the first since the 1960s would spoil vast swathes of the pristine jungle and force indian communities to relocate...police fired tear gas and rubber bullets on hundreds of indians protesting against the proposed new measures in the southwestern town of san felix on monday. nineteen people were arrested, police said.","political behavior, process",crowd dispersal-shootings-arrests,PAN,"PAN,2011",41.4545988254621,11.3136262513672,5.87580243678762,9358.26813025982,64.3499984741211,32.07000041008
1073,Panama,95,2011,1,2,8.0,2.0,2011.0,8.0,2.0,2011.0,1.0,80,university students,"1. panama students, police clash in anti mining demo agence france presse english, february 9, 2011 wednesday 1:08 am gmt, 389 words;","at least eight people were injured tuesday when riot police clashed with college students opposing proposed changes in panama s laws that would make it easier for foreigners to invest in the mining industry. students, environmentalists and indigenous groups fear that proposed changes to the mining code the first since the 1960s would spoil vast swathes of the pristine jungle and force indian communities to relocate. as panamanians we are indignant that the doors are being opened for foreign governments to come to our country and start open pit mines, said boris sanchez, a spokesman with the popular university bloc. according to the police, some 80 students from the university of panama blocked streets in a violent manner and threw heavy objects, garbage cans, set tires ablaze, and even used a home made bazooka to launch fireworks at police.","political behavior, process",arrests,PAN,"PAN,2011",41.4545988254621,11.3136262513672,5.87580243678762,9358.26813025982,64.3499984741211,32.07000041008
1074,Panama,95,2011,1,3,15.0,2.0,2011.0,15.0,2.0,2011.0,0.0,3000,indigenous groups,"1. south korea expresses interest in panama mining agence france presse english, february 15, 2011 tuesday 11:17 pm gmt, 198 words;","south korea has expressed interest in boosting investment in panama, especially in mining projects, following reforms in the central american nation, the government said tuesday...the reforms enacted in panama, which have drawn protests from environmentalists, labor leaders and others, make it easier for foreign companies to invest in mining. government critics say the law was enacted to draw interest from firms in south korea, canada, singapore and elsewhere. in the latest protests, thousands of indigenous protesters blocked a major highway to costa rica on tuesday and called for talks with the government on the reforms. an estimated 3,000 protesters blocked the road and set fire to brush alongside the highway. they claim that the reforms give away too much to foreign investors.","political behavior, process-land farm issue",ignore,PAN,"PAN,2011",41.4545988254621,11.3136262513672,5.87580243678762,9358.26813025982,64.3499984741211,32.07000041008
1075,Panama,95,2011,1,4,18.0,2.0,2011.0,18.0,2.0,2011.0,1.0,50,indigenous groups,"1. indigenous clash with police in panama agence france presse english, february 18, 2011 friday 8:43 pm gmt, 440 words;","several dozen indigenous panamanians armed with spears, sticks and stones clashed with riot police friday, disrupting traffic on the pan american highway to protest recent changes to the country s mining law. authorities said several police were wounded when the protest on the outskirts of panama city turned ugly as they tried to clear the way for traffic across a bridge that had been occupied since dawn by members of the ngobe bugle ethnic group. the indigenous groups have complained that the reformed law untouched since the 1960s would spoil pristine rainforest areas and force indian communities to relocate. demonstrators confronted authorities with spears, arrows, shells and rocks. some 200 police responded with tear gas, causing panic and a brief stampede of onlookers nearby.","political behavior, process-land farm issue",crowd dispersal,PAN,"PAN,2011",41.4545988254621,11.3136262513672,5.87580243678762,9358.26813025982,64.3499984741211,32.07000041008
1076,Panama,95,2011,1,5,24.0,2.0,2011.0,26.0,2.0,2011.0,1.0,100,indigenous groups,"1. panama indians block roads protesting mining law agence france presse english, february 26, 2011 saturday 12:17 am gmt, 313 words 2. panama: injuries, arrests in mining law protests agence france presse english, february 27, 2011 sunday 12:59 am gmt, 190 words;","hundreds of panamanian indians blocked stretches of the pan american highway friday for a second consecutive day, hoping to get president ricardo martinelli to overturn a controversial new mining law. protesters burned tires and used tree trunks to halt traffic in at least four spots on the highway, which links panama city with costa rica, an afp journalist reported.many of the protesters carried machetes and bows and arrows, and some donned face paint or wore ski masks.","political behavior, process-land farm issue",arrests,PAN,"PAN,2011",41.4545988254621,11.3136262513672,5.87580243678762,9358.26813025982,64.3499984741211,32.07000041008
1077,Panama,95,2012,1,1,1.0,2.0,2012.0,5.0,2.0,2012.0,1.0,550,indigenous groups,"1. panama mining protest shuts down highway agence france presse english, february 2, 2012 thursday 6:22 am gmt, 247 words 2. one killed as riot police break up panama protests agence france presse english, february 5, 2012 sunday 8:06 pm gmt, 343 words 3. panama police, indigenous clash over blockade the associated press, february 6, 2012 monday 12:35 am gmt, international news, 262 words 4. panama indians win withdrawal of dam, mines law the associated press, february 9, 2012 thursday 09:23 pm gmt, international news, 107 words 5. tribes find a champion in fight against new land grab: silvia carrera, the first woman chosen to lead panama s indigenous people, pledges defiance in the violent battle over copper mining the observer england , february 19, 2012, observer world news pages; pg. 28, 1238 words, edward helmore ojo de agua, panama;","indigenous panamanians protesting a proposed mining law have shut down a section of the pan american highway for a second day, demanding that a mining ban in their homeland remain in place. the situation is going to remain as it is until the government gives us a solution to the mining problem, rogelio montezuma, a spokesman for an activist group representing the ngobe bugle people, told afp. hundreds of protesters have blocked the highway, which links panama to costa rica, and held other demonstrations since monday in order to protest a proposed law to liberalize the country s mining sector.","political behavior, process-land farm issue",crowd dispersal-shootings-arrests-accomodation,PAN,"PAN,2012",41.6263043227467,9.77882751267339,5.69819959165999,10722.2614716668,66.0299987792969,30.5799994468689
1078,Panama,95,2012,1,2,19.0,10.0,2012.0,19.0,10.0,2012.0,1.0,100,colonense broad movement,"1. protesters clash with panama police over land sale agence france presse english, october 19, 2012 friday 10:16 pm gmt, 221 words 2. boy killed during protests in caribbean the new zealand herald, october 20, 2012 saturday, news; world, 277 words;","protesters angry with legislation to sell land from a lucrative duty free zone in panama on friday set tires ablaze and tossed stones at police, who fired warning shots to disperse the crowd. the provincial government ordered an evening curfew after hundreds of people demonstrated in the city of colon to protest the bill that was approved by the congress earlier in the day. stores shut down as protesters blocked roads and clashed with police, according to television images. no injuries or arrests were immediately reported.","political behavior, process-land farm issue",shootings-crowd dispersal,PAN,"PAN,2012",41.6263043227467,9.77882751267339,5.69819959165999,10722.2614716668,66.0299987792969,30.5799994468689
1079,Panama,95,2012,1,3,21.0,10.0,2012.0,21.0,10.0,2012.0,0.0,100,unspecified,"1. new protest over panama land law, but no violence the associated press, october 21, 2012 sunday 01:51 am gmt, business news, 126 words 2. fury at canal land sell off evening times glasgow , october 22, 2012 monday, hs news; pg. 10, 81 words, no byline;","hundreds of people opposed to panama selling state owned land in a duty free zone on the panama canal have marched through the city of colon a day after a violent protest resulted in a death and several injuries. no violence has been reported saturday in the caribbean port city. heavily armed police are patrolling in response to a protest friday that saw people burning tires, barricading streets and throwing things at police. officers used tear gas and fired shots in the air to disperse the rioters.","political behavior, process-land farm issue",accomodation,PAN,"PAN,2012",41.6263043227467,9.77882751267339,5.69819959165999,10722.2614716668,66.0299987792969,30.5799994468689
1080,Panama,95,2012,1,4,26.0,10.0,2012.0,26.0,10.0,2012.0,1.0,100,unspecified,"1. panama to drop plans for land sales amid protests the associated press, october 26, 2012 friday 11:09 pm gmt, international news, 222 words;","panama s government said friday it will cancel plans to sell state owned land in a duty free zone on the panama canal following a week of sometimes violent protests in which a 10 year old boy and two adults died. though the land in question is in the port city of colon, protests spread to panama city, where protesters battled police with sticks and rocks, and police fired tear gas. construction workers briefly blocked roadways in the capital, including on that leads to the city s airport, and staged marches in sympathy with the protests in colon.","political behavior, process-land farm issue",crowd dispersal-arrests-accomodation,PAN,"PAN,2012",41.6263043227467,9.77882751267339,5.69819959165999,10722.2614716668,66.0299987792969,30.5799994468689
1081,Panama,95,2013,1,1,17.0,1.0,2013.0,17.0,1.0,2013.0,0.0,100,frente amplio por colon,"1. panama duty free port hit by protests agence france presse english, january 17, 2013 thursday 10:24 pm gmt, 245 words;","hundreds of people blocked the main access road to the duty free port of colon thursday in a protest to demand greater public investment in the region. protesters burned tires in the road and intermittently halted the flow of traffic into the caribbean port city, 100 kilometers 60 miles north of panama city. riot police were positioned at various points in the province, but did not intervene. an umbrella group of labor, business and civic organizations is demanding that the government invest 500 million and part of the tax revenue generated by the province to deal with social problems in colon.","political behavior, process",ignore,PAN,"PAN,2013",41.8036802490036,6.90343676919669,4.0271599157105,11889.0950663345,66.0100021362305,30.7800006866456
1082,Panama,95,2013,1,2,9.0,3.0,2013.0,9.0,3.0,2013.0,1.0,50,farmers and indigenous people,"1. protests over planned dam turn violent in panama agence france presse english, march 10, 2013 sunday 12:20 am gmt, 260 words;","police clashed with farmers and indigenous people in western panama for a second day saturday over a planned dam that locals fear will wipe out their way of life. demonstrators in the town of vigui threw up barricades with three trunks and branches, some on the pan american highway, the main road to neighboring costa rica. they say the planned barro blanco hydroelectric dam, near the borders of veraguas and chiriqui provinces, will displace at least 36,000 people. many local indigenous people s traditional way of life is based on fishing from the river and transport on the waterway. police in riot gear seeking to reopen the highway cracked down on dozens of demonstrators who fought back with rocks and other blunt objects.","political behavior, process",crowd dispersal,PAN,"PAN,2013",41.8036802490036,6.90343676919669,4.0271599157105,11889.0950663345,66.0100021362305,30.7800006866456
1083,Panama,95,2014,1,1,25.0,11.0,2014.0,25.0,11.0,2014.0,0.0,3500.0,civil groups,"thousands of panamanians march against corruption bbc monitoring latin america political supplied by bbc worldwide monitoring, november 26, 2014 wednesday, 282 words;",thousands march against corruption organized by 22 civil groups.,"political behavior, process",ignore,PAN,"PAN,2014",41.982451540008,5.06661313008863,2.62652699929154,12796.0740287868,65.1900024414063,31.1600008010864
1084,Panama,95,2015,1,1,15.0,6.0,2015.0,15.0,6.0,2015.0,0.0,750.0,protesters,"indigenous panamanians block highway to protest dam agence france presse english, june 16, 2015 tuesday 7:11 am gmt, 213 words;","panamanian indigenous protesters and farmers blocked the pan american highway monday to demand the government abandon a european funded hydroelectric dam they say will swallow their land and damage the environment. some 200 protesters invaded the transcontinental highway and shut down traffic at the entrance to the german and dutch funded barro blanco dam project, witnesses said. we will stay here until president juan carlos varela comes and says the barro blanco project is cancelled, said protest leader ricardo miranda.","political behavior, process",ignore-.,PAN,"PAN,2015",42.1600659192791,5.73269026026031,0.137492058461537,13630.3011411301,64.25,31.8699996471405
1085,Panama,95,2016,0,0,,,,,,,,nan,,,,,,PAN,"PAN,2016",42.3358210267686,4.95343493687773,0.739734025300028,14343.9802572159,62.6199989318848,32.8900008201599
1086,Panama,95,2017,0,0,,,,,,,,nan,,,,,,PAN,"PAN,2017",42.5131076438773,5.59132827378306,0.875585918759888,15146.4085115348,62.9500007629395,33.6899993419647
1087,Panama,95,2018,1,1,1.0,7.0,2018.0,30.0,7.0,2018.0,0.0,75.0,residents,"in panama city s booming colonial core, locals fight to stay associated press international july 30, 2018 monday 5:44 am gmt, length: 832 words byline: by juan zamorano","sanchez and her relatives, along with 27 other families, ended up in an abandoned three story school with no electricity, among the last holdouts of longtime residents. sleeping in converted classrooms, they share bathrooms and hang laundry out on interior balconies just down the street from a luxury hotel that used to be home to local gang leaders. nearby, they maintain a round the clock protest camp on an empty lot that authorities had hoped to auction off, demanding the government build them new housing on the spot. they posted a sign reading: the country is being sold to the highest bidder. many locals who have been forced out over the years ended up in homes far away on the city s outskirts, but sanchez and others swear they will not accept relocation outside the neighborhood they call home. authorities say displacement of families who decades ago took over the deteriorating buildings would have happened sooner or later, once landowners saw value in retaking those properties.",land farm issue-.,ignore-.,PAN,"PAN,2018",42.6992186489973,3.68534434861736,0.761578359399943,15544.9990788449,61.3400001525879,34.739999294281
